,Unnamed: 0,drug_name,SE_name,age_id,count,ROR,ROR_upper,ROR_lower
44,44,DB00316,10028813,2,768.0,0.7352310362714976,0.8044329067116143,0.6719823022986431
68,68,DB00316,10029354,2,263.0,1.8430068802243245,2.2274129194272434,1.5249414829773091
45,45,DB00316,10029354,0,173.0,0.5804082023042717,0.7025973710481939,0.4794690318859291
69,69,DB00316,10030124,2,232.0,1.792470640290555,2.1894096887174754,1.4674964730724895
70,70,DB00316,10033775,0,229.0,1.96290035482453,2.470236703761072,1.5597605675212798
46,46,DB00316,10033775,2,97.0,0.5148711932777871,0.6521310868349298,0.4065016237055936
71,71,DB00316,10035226,2,198.0,3.1187376526011854,4.040131349147166,2.407477308331951
47,47,DB00316,10035226,0,81.0,0.3732289588803092,0.4834929407965602,0.2881114572580552
72,72,DB00316,10035528,2,235.0,2.081458359741412,2.562316931452396,1.690840368010853
48,48,DB00316,10035528,0,135.0,0.5048153751091983,0.6231826677680092,0.4089307616005597
73,73,DB00316,10035664,2,788.0,1.5745288003436213,1.7490053372126133,1.4174576202623406
49,49,DB00316,10035664,0,600.0,0.6578635174751698,0.7313383676669699,0.5917704126551179
74,74,DB00316,10037660,1,110.0,2.896788545681906,3.5381974630750537,2.371655049207153
75,75,DB00316,10039906,1,43.0,4.015344310164782,5.546880069892903,2.906677217826341
50,50,DB00316,10039906,2,82.0,0.4369238578809472,0.5617643104982195,0.3398266034669628
76,76,DB00316,10040753,0,423.0,1.7190016477308838,2.021355961087207,1.461873475917688
51,51,DB00316,10040753,2,192.0,0.5319414545570612,0.6299339796214458,0.4491926459441444
77,77,DB00316,10043071,1,40.0,4.238189960118762,5.931377515447742,3.028344442967994
52,52,DB00316,10043071,2,74.0,0.4470289494376754,0.5828420454188786,0.3428628445837908
53,53,DB00316,10043521,2,29.0,0.3173816549393458,0.4768684290076299,0.211234606370694
78,78,DB00316,10043554,2,211.0,1.8548295869040827,2.2924656705079496,1.500739069166724
79,79,DB00316,10046571,2,431.0,1.5585486489000966,1.7951203233747963,1.3531538022040206
80,80,DB00316,10046810,0,105.0,7.4044624327826,13.177456258024517,4.160595402098342
54,54,DB00316,10046810,2,9.0,0.1047850219430966,0.2068117762147971,0.0530912747067719
81,81,DB00316,10047700,0,821.0,1.4384937607278516,1.606268401198894,1.288243171632145
82,82,DB00316,10047700,1,100.0,2.088289342695164,2.5677161616066293,1.69837789862472
